CRS,Tiploc,Description,Stannox
XAS,FOWESHT,FOWEY SAFE HARBOUR HOTEL,0
,FOWEYDK,FOWEY DOCK CARNE POINT,85105
FOX,FOXFILD,FOXFIELD,11221
,FOXH924,FOXHALL SIGNAL 924,74302
XJF,FOXHALJ,FOXHALL JN,74315
,FOXLOWJ,FOXLOW JN,27209
,FOXTBAR,BARRINGTON (FLHH),47253
,FOXTBRR,BARRINGTON RUN ROUND,47251
,FOXTBUP,BARRINGTON UNLOADING PAD,47252
,FOXTDCR,FOXTON DCR,47243
,FOXTFHH,FOXTON FHH,47240
,FOXTGBF,FOXTON EXCHANGE SDGS GBRF,47245
FXN,FOXTON,FOXTON,47242
,FOXTRC,FOXTON EXCHANGE SIDINGS,47241
FRT,FRANT,FRANT,89389
,FRASL,FOUR ASHES LOOP,65002
,FRAT460,FRATTON SIGNAL 460,86318
,FRAT553,FRATTON SIGNAL 553,86317
,FRAT554,FRATTON SHUNT SIGNAL HT554,86319
,FRAT555,FRATTON SIGNAL 555,0
XFR,FRATCSD,FRATTON C.S.D.,86323
,FRATDFP,FRATTON DEPOT F.P.,86327
,FRATGSA,FRATTON GOLDSMITH AVENUE,0
,FRATNCS,FRATTON C.H.S.,86323
,FRATTMD,FRATTON T&R.S.M.D,86323
,FRATTNE,FRATTON EAST,86328
,FRATTNY,FRATTON S.S.,86320
FTN,FRATTON,FRATTON,86321
,FRATTOY,FRATTON OLD YARD,86323
,FRATTSH,FRATTON STAFF HALT,86322
,FRBCKJ,FIRBECK JN,26415
FRB,FRBN,FAIRBOURNE,64413
FNB,FRBRMN,FARNBOROUGH (MAIN),86042
FNN,FRBRNTH,FARNBOROUGH NORTH,87010
,FRBRYW4,FARNBOROUGH SIGNAL YW4,86042
,FRDFACT,FORD FACTORIA,228
,FRDHAM,FORDHAM,46278
FRD,FRDSHM,FRODSHAM,35703
,FRDSHMJ,FRODSHAM JN,35702
,FREMNSX,FREEMANS L.C.,12235
FFD,FRESHFD,FRESHFORD,82071
,FRESVIL,FRESHFORD VILLAGE,0
FRF,FRFD,FAIRFIELD,32056
,FRIARSJ,FRIARS JN,73230
FML,FRIMLEY,FRIMLEY,87097
,FRIMLYJ,FRIMLEY JN,87093
FRI,FRINTON,FRINTON-ON-SEA,50014
,FRLNGTJ,FARLINGTON JN,86334
,FRMKBUS,FOUR MARKS (WINDMILL),0
,FRMPGBR,FERME PARK LONDON CONC GBR,54216
,FRMPKDS,FERME PARK DIESEL SDGS,54211
,FRMPKFH,FERME PARK AGG IND (FHH),54220
,FRMPKLC,FERME PARK LONDON CONCRETE,54215
XFD,FRMPKRS,FERME PARK RECP.,54209
,FRMPRSG,FERME PARK REC LN GBRF,54213
,FRMPSPR,FERME PARK SHUNT SPUR,54219
,FRNB100,FARNBOROUGH SIG BE5100,86020
,FRNBRCE,FARNBOROUGH COUNTRY END,86043
,FRNBRLE,FARNBOROUGH LONDON END,86048
FNC,FRNCMB,FARNCOMBE,87055
,FRNDFST,FISHER ST EAST,73115
ZFD,FRNDNLT,FARRINGDON,63633
FDX,FRNDXR,FARRINGDON CROSSRAIL,63636
,FRNGTNC,FARINGTON CURVE JN,30150
,FRNGTNJ,FARINGTON JN,30151
FRA,FRNKFRT,FRANKFURT (MAIN) HBF,41
FNR,FRNNGRD,FARNINGHAM ROAD,88480
FNW,FRNW,FARNWORTH,31569
FRO,FROME,FROME,82204
,FROMNRS,FROME NETWORK RAIL DN SDG,82205
,FROMNSB,FROME NORTH,82206
XAU,FROMPOM,FROME POST OFFICE,0
FRE,FRSHFLD,FRESHFIELD,36063
FOG,FRSTGT,FOREST GATE,50435
,FRSTGTJ,FOREST GATE JN,50434
,FRTEVOT,FORTEVIOT L.C.,3150
,FRTHBKL,FORTH BANKS LINE,12927
FTM,FRTMTLD,FORT MATILDA,7012
,FRTW33,FORT WILLIAM SIG 33,6045
,FRTWAGB,FORT WILLIAM ALCAN GBRF,6044
,FRTWBAC,FORT WILLIAM BRITISH ALCAN,6023
,FRTWBAF,FORT WILLIAM (FLT DUP),6017
,FRTWDCC,FORT WILLIAM DCC ENERGY,6022
,FRTWFLT,FT.WILLIAM SIDINGS FLT,6018
,FRTWGF,FORT WILLIAM BA G.F.,6043
,FRTWJFL,FORT WILLIAM JN FLT,6021
,FRTWJN,FORT WILLIAM JN,6019
,FRTWJTG,FORT WILLIAM JN T.C. GBRF,6064
,FRTWJYD,FORT WILLIAM J.YD T.C.,6020
,FRTWLCE,FORT WILLIAM C.E.,6016
FTW,FRTWLM,FORT WILLIAM,6025
,FRTWLMS,FORT WILLIAM STATION SDGS,6024
,FRTWTLP,FORT WILLIAM TIMBER LOAD,6015
FRW,FRWATER,FAIRWATER,78507
,FRWAYD,FAIRWATER YARD,83006
,FRWDJN,FAIRWOOD JN,82118
,FRZBGCE,FURZEBROOK OIL SIDINGS,86967
FZH,FRZNGHL,FRIZINGHALL,17021
,FSHBBUS,FISHBOURNE (A259),0
FSB,FSHBORN,FISHBOURNE (SUSSEX),86383
FSG,FSHRSGT,FISHERSGATE,87987
FEN,FSTR,FENNY STRATFORD,62057
FEA,FTHRSTN,FEATHERSTONE,18031
,FULBRNE,FULBOURNE,47009
,FULW411,FULWELL SIGNAL F411,87268
,FULW415,FULWELL SIGNAL F415,0
,FULW417,FULWELL SIGNAL F417,87183
,FULW513,FULWELL SIGNAL BEF2513,86939
,FULWELJ,FULWELL JN,87165
FLW,FULWELL,FULWELL,87160
FNV,FURNESV,FURNESS VALE,32545
FZP,FURZEP,FURZE PLATT,74012
,FUSHBJN,FUSHIEBRIDGE JUNCTION,4706
,FVWHSDG,5 WHISTLE SIDING,76453
,FWLY,FAWLEY,86812
,FWLYESO,FAWLEY ESSO,86812
,FWLYFHH,FAWLEY ESSO FHH,86816
,FWLYGF,FAWLEY GROUND FRAME,86807
,FYHLAYC,AYCLIFFE,15125
,FYHLGBF,FERRYHILL TC OLD YARD GBRF,15110
,FYHLMAR,FERRYHILL YARD MARCROFT,15115
,FYHLPRM,PRESTON MANOR,15123
,FYHLSJN,FERRYHILL STH. JN.,15120
,FYHLSTI,STILLINGTON,15135
,FYHLTC,FERRYHILL T.C. OLD YARD,15114
,FYHLTHO,FERRYHILL THOMPSON,15113
FYS,FYSD,FERRYSIDE,80407
,GAERJ,GAER JN,76420
,GAILES,GAILES L.C.,0
GAL,GALASLS,GALASHIELS,4715
,GALTILL,SMETHWICK GALTON BDG L.L.,65822
SGB,GALTINT,SMETHWICK GALTON BDG H.L.,65900
XGJ,GALTONJ,GALTON JN,65823
GWY,GALWAY,GALWAY,0
,GANNOWJ,GANNOW JN,29048
,GANTRYA,GLASGOW CENTRAL GANTRY A,7316
GRF,GARFRTH,GARFORTH,16604
GAR,GARROWH,GARROWHILL,6710
,GARSCE,GARSDALE URS (CE),9441
GSD,GARSDLE,GARSDALE,9440
GTH,GARTH,GARTH (POWYS),79084
GVE,GARVE,GARVE,1083
,GARVECE,GARVE C.E.,1084
,GARVELC,GARVE L.C.,1083
GSW,GARW,GARSWOOD,35395
,GASFCTJ,GAS FACTORY JN,52703
,GASFLP,GAS FACTORY LOOP,52704
GST,GATHRST,GATHURST,35102
GTY,GATLEY,GATLEY,32526
GBL,GBGHLRD,GAINSBOROUGH LEA ROAD,26104
GBK,GBNK,GREENBANK,37073
,GBNK9,GREENBANK SIGNAL GK9,37074
GNB,GBROC,GAINSBOROUGH CENTRAL,26008
,GBROC26,GAINSBOROUGH CENTRAL GC26,26107
,GBROCG4,GAINSBOROUGH CENTRAL GC4,26106
,GBROCG6,GAINSBOROUGH CENTRAL GC6,26105
,GBROCHA,GAINSBRO LEA ROAD CHAFERS,26101
,GBROLRB,GAINSBORO' LEA RD MELROSE,26103
,GBROTJ,GAINSBOROUGH TRENT JNS,26108
GOD,GDLMING,GODALMING,87057
,GDMYSUR,GOODMAYES UP RECEPTION,50412
,GEDLCOL,GEDLING COLLIERY,55601
,GERABJN,GERARDS BRIDGE JCN,35404
,GERDXSS,GERRARDS CROSS SIDING,73500
GER,GERRDSX,GERRARDS CROSS,73499
GNF,GFLD,GREENFIELD,32107
GFD,GFORD,GREENFORD,73415
,GFORDEJ,GREENFORD EAST JN,73309
,GFORDSJ,GREENFORD SOUTH JN,73412
,GFORDWJ,GREENFORD WEST JN.,73411
GIG,GGLSWCK,GIGGLESWICK,11567
GUI,GIDB,GUIDE BRIDGE,32210
,GIDB872,GUIDE BRIDGE SIGNAL 872,32217
,GIDBAVS,GUIDE BRIDGE AVE SDGS FLHH,32206
,GIDBDFH,GUIDE BRIDGE (DAVIS) FLHH,32205
,GIDBFHH,GUIDE BRIDGE YARD (FLHH),32208
,GIDBGBS,GUIDE BRIDGE B'SDE SDGS,32212
,GIDBGEJ,GUIDE BRIDGE EAST JN,32210
,GIDBGNJ,GUIDE BRIDGE NORTH JN,32210
,GIDBGWJ,GUIDE BRIDGE WEST JN,32203
,GIDBMD,GUIDE BRIDGE MAINT DEPOT,32215
,GIDBURL,GUIDE BRIDGE UP & DOWN PL,32220
,GIDBVQ,GUIDE BDGE VIRTUAL QUARRY,32211
,GIDE116,GIDEA PARK SHUNT SIG L5116,0
,GIDE125,GIDEA PARK SIGNAL L5125,50341
,GIDE474,GIDEA PARK SIGNAL L474,0
GDP,GIDEAPK,GIDEA PARK,50334
,GIDECES,GIDEA PARK CNTR'Y END SPUR,50340
,GIDEPKJ,GIDEA PARK JN,50339
,GIDEPKM,GIDEA PARK MIDDLE SIDING,50337
,GIDEPKR,GIDEA PARK RAILSTORE,50335
,GIDEPKS,GIDEA PARK C.H.S.,50336
,GIDEUGL,GIDEA PARK UP GOODS LOOP,50334
GFN,GIFNOCK,GIFFNOCK,7233
GIP,GIPSYH,GIPSY HILL,87624
,GIRV26,GIRVAN SIGNAL GV26,8638
GIR,GIRVAN,GIRVAN,8646
,GIRVANC,GIRVAN C.E.,8644
,GISBTNL,GISBURN TUNNEL,29130
GLS,GLAISDL,GLAISDALE,15518
GLR,GLANRFN,GLANRAFON,0
GLH,GLASHTN,GLASSHOUGHTON,17302
,GLAZBKE,GLAZEBROOK EAST JN & SDGS,36720
GLZ,GLAZBRK,GLAZEBROOK,36719
,GLAZBTP,GLAZEBROOK B.T.P.,36724
,GLBKJN,GALABANK JUNCTION,4704
,GLBR901,GILBERDYKE SIGNAL 1901,19216
GBD,GLBRDYK,GILBERDYKE,19215
,GLCARON,GLENCARRON,1086
,GLDL,GLEN DOUGLAS,6104
,GLDLGBF,GLEN DOUGLAS MOD GBRF,6117
,GLDLMOD,GLEN DOUGLAS M.O.D.,6103
GOE,GLDTHRP,GOLDTHORPE,24004
,GLFALCH,GLEN FALLOCH,6062
GFF,GLFCHFR,GILFACH FARGOED,78353
,GLFIELD,GOLLANFIELD,1122
GGT,GLGAPT,GLASGOW AIRPORT,0
,GLGBGTE,BRIDGEGATE,0
GLC,GLGC,GLASGOW CENTRAL,7257
,GLGC227,OUT OF USE,7257
,GLGCBSJ,GLASGOW BRIDGE STREET JN,7246
GCL,GLGCLL,GLASGOW CENTRAL,7255
,GLGCN2L,GLASGOW CENTRAL NO. 2 SDG,7256
,GLGCN6L,OUT OF USE,0
,GLGCN7L,OUT OF USE,0
,GLGCSD1,GLASGOW CENTRAL N0.1 SDG,7250
,GLGCSD3,GLASGOW CENTRAL NO 3 SDG,7252
,GLGCSD4,GLASGOW CENTRAL NO 4 SDG,7251
,GLGCSD5,GLASGOW CENTRAL NO 5 SDG,7254
,GLGH140,HIGH STREET SIG 140,6600
,GLGH141,HIGH STREET SIG 141,6600
,GLGH795,HIGH STREET SIG YF795,6600
,GLGHSJN,HIGH ST JN,6605
HST,GLGHST,HIGH STREET,6600
GLG,GLGN,GLENGARNOCK,8001
,GLGN183,GLENGARNOCK SIG PG183,8003
,GLGNUGL,GLENGARNOCK U.G.L.,8005
GLQ,GLGQHL,GLASGOW QUEEN STREET,6401
GQL,GLGQLL,GLASGOW QUEEN STREET,6399
,GLGSLYE,SMITHY LYE,7258
,GLGWWKS,GLASGOW WORKS,6506
GIL,GLHM,GILLINGHAM (DORSET),82332
,GLHM23,GILLINGHAM (DORSET) SIG 23,82336
,GLHM4,GILLINGHAM SIGNAL GM4,0
,GLHM677,GILLINGHAM SIGNAL NO.4677,82340
,GLHM680,GILLINGHAM SIGNAL 4680,82337
,GLHMCE,GILLINGHAM (DORSET) CE,82333
,GLHMSSS,GILLINGHAM (DORSET) SIDING,82329
GCW,GLNCNWY,GLAN CONWY,40055
GLE,GLNEGLS,GLENEAGLES,3153
,GLNFCE,GLENFINNAN C.E.,6007
GLF,GLNFNNN,GLENFINNAN,6008
,GLNG26,GILLINGHAM (KENT) SIG 26,89017
,GLNGBTH,BEITH,7100
,GLNGCSD,GILLINGHAM C.S.D.,89016
XGI,GLNGDEP,GILLINGHAM E.M.U.D.,89016
,GLNGDNS,GILLINGHAM DOWN SIDINGS,89013
GLM,GLNGHMK,GILLINGHAM (KENT),89011
,GLNGLCS,GILLINGHAM EWS SIDINGS,89012
,GLNGMUS,GILLINGHAM UP SDGS,89016
,GLNGRCE,GLENGARNOCK C.E.,8002
,GLNGREC,GILLINGHAM RECEPTION ROAD,89010
,GLNR556,GLENROTHES SIG ET556,3237
,GLNR558,GLENROTHES SIG ET558,3237
,GLNR867,GLENROTHES SIGNAL ET867,3235
GLT,GLNRTHS,GLENROTHES WITH THORNTON,3241
,GLNWHLY,GLENWHILLY,8652
,GLOS156,GLOUCESTER SIG. G156,68100
,GLOS239,GLOUCESTER SIG. G239,68100
,GLOS256,GLOUCESTER SIG. G256,68100
,GLOS339,GLOUCESTER SIG. G339,68084
,GLOS356,GLOUCESTER SIG. G356,68129
,GLOS419,GLOUCESTER SIG G419,68113
,GLOS423,GLOUCESTER SIGNAL 423,68087
,GLOS444,GLOUCESTER GROUND SIG 444,68088
,GLOS446,GLOUCESTER GROUND SIG 446,68093
,GLOS454,GLOUCESTER GROUND SIG 454,68090
,GLOSCHS,GLOUCESTER CARRIAGE SDGS,68085
,GLOSLIP,GLOUCESTER L.I.P.,68101
,GLOSOVR,GLOUCESTER OVER JN,68081
,GLOSS31,GLOUCESTER SIG. G31,68112
GCR,GLOSTER,GLOUCESTER,68089
,GLOSTHR,GLOUCESTER HORTON ROAD,68105
,GLOSTLS,GLOUCESTER LOCO SPUR,68102
,GLOSTNG,GLOUCESTER N.Y. GBRF,68106
,GLOSTNY,GLOUCESTER N.Y.,68100
,GLOSTOY,GLOUCESTER OLD YARD,68104
,GLOSTUF,TUFFLEY JUNCTION,68131
,GLOSTYJ,GLOUCESTER YARD JN,68130
,GLSCOED,GLASCOED,0
GLO,GLSP,GLOSSOP,32250
XEA,GLSTHAL,GLASTONBURY TOWN HALL,0
GLY,GLYNDE,GLYNDE,88242
,GNBAEWS,GOONBARROW JUNCTION DBC,85228
,GNBARWJ,GOONBARROW JN,85229
,GNFTGL,GREENFOOT G.L.,7304
,GNHL347,GREENHILL SIGNAL GJ347,5026
,GNHL360,GREENHILL JN SIG GJ 360,5027
,GNHL427,GREENHILL SIGNAL GJ427,5022
,GNHL428,GREENHILL SIGNAL GJ428,5030
,GNHLBGL,GREENHILL UPPER BDGL,5031
,GNHLDGL,GREENHILL UPPER D.G.L.,5023
,GNHLLJN,GREENHILL LOWER JN,5022
,GNHLUCE,GREENHILL UPPER C.E.,5020
,GNHLUJN,GREENHILL UPPER JN,5024
GNH,GNHT,GREENHITHE FOR BLUEWATER,88699
,GNHTBWP,GREENHITHE BLUEWTR PK-BUS,0
,GNHTRI,GREENHITHE - RAILWAY INN,0
GNL,GNLN,GREEN LANE,38202
XBK,GNLNJN,GREEN LANE JN.,0
,GNRS51,GUNNERSBURY SIGNAL GB51,87200
GUN,GNRSBRY,GUNNERSBURY,87138
GTN,GNTN,GRANGETOWN,78705
GNW,GNWH,GREENWICH,88433
,GOBOCHR,GOBOWEN CAMBRIAN RAILWAYS,64112
,GOBORRS,GOBOWEN RUN ROUND/CE SDGS,64113
,GOBOW6,GOBOWEN GROUND SIGNAL GN6,64114
GOB,GOBOWEN,GOBOWEN,64111
,GODALBN,GULF OIL DEPOT ALBION,65813
GDE,GODLEYE,GODLEY EAST,32228
GDL,GODLY,GODLEY,32226
GMY,GODMAYS,GOODMAYES,50412
,GODSLFS,GODSTONE TIP,87733
,GODSTGF,GODSTONE TIP GROUND FRAME,0
GDN,GODSTON,GODSTONE,87734
XOF,GOFER,GOSPORT FERRY,0
,GOLBRNJ,GOLBORNE JN,35204
GOF,GOLFSTR,GOLF STREET,3032
,GOLSKLC,KIRKTON L.C.,1024
GOL,GOLSPIE,GOLSPIE,1024
GOM,GOMSHAL,GOMSHALL,87083
,GONESSE,GONESSE,753
XFO,GOODCHS,GOODRINGTON C.H.S,83634
GUD,GOODSND,GOODRINGTON SANDS,83636
GOO,GOOLE,GOOLE,20002
,GOOLEDK,GOOLE DOCKS,20000
,GOOLEGG,GOOLE GLASSWORKS GBRF,20009
,GOOLEGW,GOOLE GLASSWORKS,20008
,GOOLES,GOOLE T.C.,20003
,GOOLESJ,ENGINE SHED JN GOOLE,20001
,GOOLLOP,GOOLE UP GOODS LOOP,20004
,GOOLPGJ,POTTERS GRANGE JN,19998
,GOOLUSS,GOOLE UP STATION SDG,20006
GTR,GOOSTRY,GOOSTREY,42002
GOR,GORASTR,GORING & STREATLEY,74291
GGL,GORBALS,GORBALS,0
,GORD201,GORDON HILL SIGNAL 201,53249
GDH,GORDONH,GORDON HILL,53248
GBG,GOREBRG,GOREBRIDGE,4710
,GORG530,GORGIE BRANCH SIG EH530,4226
,GORGIEJ,GORGIE JN,4701
GBS,GORNGBS,GORING-BY-SEA,87997
GTO,GORTON,GORTON,32055
,GOSBLOT,BLOTOFT SIGNAL BOX,46003
,GOSBRTN,GOSBERTON S.B.,46005
,GOSP100,GOSPEL OAK SIG NL1000,72428
,GOSP304,GOSPEL OAK SIGNAL 1304,72432
,GOSP306,GOSPEL OAK SIG NL 1306,72430
,GOSP500,GOSPEL OAK SIGNAL GO500,72424
GPO,GOSPLOK,GOSPEL OAK,72419
,GOSPMAN,GOSPEL OAK MANSFIELD ROAD,0
GOP,GOSTBUS,GOSPORT BUS,0
GRK,GOUROCK,GOUROCK,7011
,GOURPIE,GOUROCK PIER,0
,GOURSTN,GOUROCK STATION,7011
GOS,GOVS,GRANGE-OVER-SANDS,11401
,GOVS4,GRANGE-OVER-SANDS SIGNAL 4,11402
GWN,GOWERTN,GOWERTON,79325
GOX,GOXHILL,GOXHILL,21006
,GRAIN,GRAIN (OLD STATION),88743
,GRAINBP,GRAIN BP,88744
,GRAINEW,GRAIN THAMESPORT (DBC),88745
,GRAINFG,GRAIN FOSTER YEOMAN GBRF,88753
,GRAINFH,GRAIN OIL TERMINAL (FLHH),88756
,GRAINFL,GRAIN FOSTER YEOMAN - FHH,88751
,GRAINFY,GRAIN FOSTER YEOMAN,88747
,GRAINGB,GRAIN THAMESPORT (GBRF),88752
,GRAINLC,GRAIN LEVEL CROSSING,88757
,GRAINTB,GRAIN THAMESPORT BULK,88749
,GRAINTR,GRAIN THAMESPORT FLT,88748
,GRANGE,GRANGE,2019
GRT,GRATELY,GRATELEY,86077
GVH,GRAVLYH,GRAVELLY HILL,65608
GRY,GRAYS,GRAYS,51311
,GRAZLY,GRAZELEY,0
,GREATHM,GREATHAM,14261
GNR,GREENRD,GREEN ROAD,11215
,GREMBRG,GREMBERG,98
GKC,GRENCKC,GREENOCK CENTRAL,7015
GKW,GRENCKW,GREENOCK WEST,7013
,GRET525,GRETNA JN SIGNAL CE525,9093
,GRET526,GRETNA JN SIGNAL CE526,9094
GEA,GRETGRN,GRETNA GREEN,9085
XGS,GRETNAJ,GRETNA JN,9095
,GRGMACE,GEORGEMAS JUNCTION C.E.,1007
GGJ,GRGMASJ,GEORGEMAS JUNCTION,1008
,GRGMBOW,BOWER,1026
,GRGMHLC,HALKIRK,1020
,GRGMYLC,HOY L.C.,1008
GGV,GRGRAVE,GARGRAVE,9529
,GRIGG,GRAYRIGG,9335
,GRJT,GRAND JN,65627
,GRLCHCE,GARELOCHHEAD C.E.,6106
,GRLCHGF,GARELOCHHEAD GF,6118
GCH,GRLCHHD,GARELOCHHEAD,6105
,GRMS100,GRIMSBY PASTURE ST SIG1000,21133
,GRMS981,GRIMSBY PASTURE ST SIG 981,21132
,GRMSBMJ,GRIMSBY MARSH JN,21103
,GRMSBPR,GRIMSBY PYEWIPE ROAD S.B.,21105
,GRMSBPS,GRIMSBY BRICKPIT SDG,21121
,GRMSBWM,GRIMSBY WEST MARSH T.C.,21119
GMD,GRMSBYD,GRIMSBY DOCKS,21134
GMB,GRMSBYT,GRIMSBY TOWN,21122
,GRMSTPS,TIOXIDE SIDING,21107
,GRMSWMA,GRIMSBY WEST MARSH RFS ENG,21108
,GRNBFHH,GREENBURN (FHH),8828
,GRNBGBF,GREENBURN GBRF,8832
,GRNBJN,GREENBURN JN,8833
,GRNBURN,GREENBURN KEIR MINING,8830
,GRNDG11,GRINDLEFORD SIG G11,34023
GRN,GRNDLFD,GRINDLEFORD,34022
GRL,GRNFLDS,GREENFAULDS,7303
,GRNG290,GRANGEMOUTH JN SIG 290,5044
,GRNG292,GRANGEMOUTH JN SIG 292,5043
,GRNGBPC,BP GRANGEMOUTH (COLAS),5084
,GRNGBPH,GRANGEMOUTH IN HOLDING SDG,5076
,GRNGCLR,GRANGEMOUTH COLAS RAIL,5085
,GRNGDRS,GRANGEMOUTH FPA (DRS),5083
,GRNGEWS,GRANGEMOUTH TDG (EWS),5077
,GRNGFLT,GRANGEMOUTH FLT,5082
,GRNGFPA,GRANGEMOUTH DOCKS F.P.A.,5081
,GRNGH10,GRANGEMOUTH JUNC SIG GH10,5045
,GRNGH12,GRANGEMOUTH JUNC SIG GH12,5046
,GRNGLD,GRANGEMOUTH WH MALCOLM,5100
,GRNGMBP,GRANGEMOUTH IN (CHEMICALS),5071
,GRNGMCR,GRANGEMOUTH OIL COLAS,5079
,GRNGMDR,GRANGEMOUTH TDG SDG (DRS),5078
,GRNGMOT,GRANGEMOUTH INEOS,5075
,GRNGMRR,GRANGEMOUTH RUN ROUND,5091
GGM,GRNGMTH,GRANGEMOUTH,5091
XGM,GRNGMTJ,GRANGEMOUTH JN,5042
,GRNGOHL,GRANGEMOUTH ORCHARDHALL,5072
,GRNGTDG,GRANGEMOUTH TDG MAIN TERM,5073
,GRNGTDS,GRANGEMOUTH TDG STORAGE SS,5074
,GRNGVWR,GRANGEMOUTH TDG (VWR),0
,GRNHJN,GREENHURST JN,87767
,GRNLNNG,GREENLOANING,3156
,GRNLUDS,GREENLOANING REFUGE SDGS,3157
,GRNQNNJ,GARNQUEEN NORTH JN,7306
,GRNSFDJ,GREENSFIELD JN.,13242
GRO,GROMBDG,GROOMBRIDGE,0
GMT,GROSMNT,GROSMONT,15522
,GROSNYM,GROSMONT NORTH YORKS MOORS,15521
GPK,GRPK,GRANGE PARK,53303
,GRRDGAM,GAMSTON,23495
,GRSNEST,GARRISON ESTATE,0
,GRSTCTG,GARSTON CAR TERMINAL GBRF,36322
,GRSTFHH,GARSTON (MERSEYSIDE) (FHH),36309
GSN,GRSTH,GARSTON (HERTFORDSHIRE),71038
GRM,GRSTM,GARSTON (MERSDE)CLOSED,36089
,GRSTNAC,GARSTON AUTO COMPOUND(EWS),0
,GRSTNCR,GARSTON CHURCH ROAD,36313
,GRSTNDK,GARSTON DOCKS,0
,GRSTNFT,GARSTON F.L.T.,36311
,GRSTNGF,GARSTON GROUND FRAME,36319
,GRSTNJ,GARSTON JN,36308
,GRSTNSL,GARSTON AUTO COMPOUND(FLR),36323
,GRSTNSS,GARSTON(SPEKE) T.C.,36320
,GRSTNUS,GARSTON UP SIDINGS,36320
GRH,GRTCSH,GARTCOSH,6502
,GRTCSHJ,GARTCOSH JN,7305
GMG,GRTHMG,GARTH (MID GLAMORGAN),79824
,GRTL307,GREETLAND JN SIGNAL DH307,18456
,GRTL308,GREETLAND JN SIGNAL DH308,18457
,GRTLBP,GREETLAND B.P. OIL,18446
,GRTLNDJ,GREETLAND JN,18447
,GRTN,GRANGETOWN (CLEVELAND),15636
,GRTN736,GRANGETOWN SIG G.736,0
,GRTN751,GRANGETOWN SIG G.751,0
,GRTNJN,GRANGETOWN JUNCTION,15637
,GRTNSHJ,SHELL JUNCTION,15643
,GRTONIB,GORTON (TAYSIDE),6036
,GRTSTNH,GREATSTONE HALT,0
,GRVEGRN,GROVE GREEN,0
,GRVP314,GROVE PARK SIG TL1314,88541
,GRVP315,GROVE PARK SIGNAL L1315,88385
,GRVP319,GROVE PARK SIG TL1319,88539
,GRVP330,GROVE PARK SIG TL1330,88542
,GRVP336,GROVE PARK SIG TL1336,88540
XGP,GRVPCHS,GROVE PARK C.H.S.,88443
,GRVPCSD,GROVE PARK C.S.D.,88443
,GRVPDCE,GROVE PARK DPT CTRY ED EXT,88503
,GRVPDLE,GROVE PARK DPT LNDN ED EXT,88509
GRP,GRVPK,GROVE PARK,88481
,GRVPKDS,GROVE PARK DOWN C.H.S.,88439
,GRVPKUS,GROVE PARK UP C.H.S.,88452
,GRVPKWR,GROVE PARK WASH ROAD,88443
,GRVPRCP,GROVE PARK DOWN RECEPTION,88442
,GRVPSHD,GROVE PARK SHED,88383
,GRVPUCE,GROVE PARK UP SG CN ED EXT,88430
,GRVPUHS,GROVE PARK UP HEADSHUNT,88434
,GRVPULE,GROVE PARK UP SG LN ED EXT,88508
,GRVRBGJ,GROSVENOR BRIDGE JN,87204
,GRVS601,GRAVESEND SIGNAL NK1601,88719
,GRVS604,GRAVESEND SIGNAL NK1604,88720
GRV,GRVSEND,GRAVESEND,88721
,GRVSFRY,GRAVESEND TOWN PIER,0
,GRVSWSP,GRAVESEND WEST STREET PIER,0
,GRWN,GAERWEN,40028
GRS,GSCD,GARSCADDEN,6350
,GSCG909,GASCOIGNE WOOD SIG 5909,0
,GSCG926,GASCOIGNE WOOD SIG 5926,16507
,GSCGDBS,GASCOIGNE WOOD DOWN (DBS),16508
,GSCGDL,GASCOIGNE WOOD DOWN LOOP,16512
,GSCGFHH,GASCOIGNE WOOD DOWN (FHH),16513
,GSCGGBR,GASCOIGNE WOOD SDGS GBRF,16529
,GSCGHAG,HAGG LANE CROSSING,16516
,GSCGNWJ,GASCOIGNE WOOD JN.,16591
,GSHRSJN,GARTSHERRIE SOUTH JN,7307
,GSTANG,GARSTANG & CATTERAL,11727
GTA,GTAYTON,GREAT AYTON,15506
,GTBG,GREAT BRIDGE,0
GRB,GTBNTLY,GREAT BENTLEY,50026
GRC,GTCHSFD,GREAT CHESTERFORD,47311
,GTCHSFL,GREAT CHESTERFORD UP GDSLP,47312
,GTCO1JN,GREAT COATES NO1 JN.,21034
GCT,GTCOATS,GREAT COATES,21033
XGZ,GTHLAND,GOATHLAND,15529
GRA,GTHM,GRANTHAM,44421
,GTHM281,GRANTHAM SUB SIGNAL 1281,44427
,GTHM283,GRANTHAM SUB SIGNAL 1283,44423
,GTHMEWS,GRANTHAM FREIGHT DEPOT,44419
,GTHMISU,GRANTHAM ISU,44422
,GTHMNBJ,NOTTINGHAM BRANCH JN,44425
,GTHMNJN,GRANTHAM NTH JN,44424
,GTHMUSG,GRANTHAM UP SDGS,44426
,GTHS,GRANTSHOUSE,4834
,GTHSCE,GRANTSHOUSE C.E.,4833
,GTHSDPL,GRANTSHOUSE D.P.L.,4834
,GTHSUPL,GRANTSHOUSE U.P.L.,4834
,GTLY,GARTLY,2023
GMV,GTMLVRN,GREAT MALVERN,67214
,GTMS769,GREAT MISSENDEN SIG ME769,70357
GMN,GTMSNDN,GREAT MISSENDEN,70360
,GTRCDFL,GREAT ROCKS DOGS HOME FLHH,34107
